pair,song_1,song_2,distance,song_1_distance_to_baseline,song_2_distance_to_baseline
43,43.the-isley-brothers-love-is-a-wonderful-thing_Org.mp3,43.michael-bolton-love-is-a-wonderful-thing_Cpy.mp3,0.07376223057508469,0.14269046485424042,0.14785239100456238
44,44.stevie-wonder-uptight-uk-nme-top40-3-02-66_Org.mp3,44.oasis-step-outremastered_Cpy.mp3,0.137884259223938,0.4043737053871155,0.0784357488155365
45,45.the-new-seekers-i-39-d-like-to-teach-the-world-to-sing-in-perfect-harmony_Cpy.mp3,45.oasis-shakermaker_Cpy.mp3,0.07986341416835785,0.15719471871852875,0.07518906146287918
46,46.the-police-every-breath-you-take_Org.mp3,46.p-diddy-ill-be-missing-you-p-diddy-ill-be-missing-yo_Cpy.mp3,0.03533896431326866,0.08809681236743927,0.10725188255310059
47,47.the-rolling-stones-anybody-seen-my-baby_Cpy.mp3,47.kd-lang-constant-craving_Org.mp3,0.03909461200237274,0.10291165113449097,0.19629117846488953
5,5.jasmine-rae-when-i-found-you_Org.mp3,5.faith-hill-tim-mcgraw-the-rest-of-our-life_Cpy.mp3,0.039578091353178024,0.16442206501960754,0.11749256402254105
6,6.the-white-stripers-seven-nation-army_Org.mp3,6.netta-toy-toy_Cpy.mp3,0.051335178315639496,0.09689903259277344,0.16232305765151978
7,7.tlc-no-scrubs_Org.mp3,7.shape-of-you-ed-sheeran_Cpy.mp3,0.03610996901988983,0.09039317071437836,0.1117556244134903
8,8.matt-cardle-amazing_Org.mp3,8.ed-sheeran-photograph-photograph_Cpy.mp3,0.040431227535009384,0.12743625044822693,0.1354292929172516
9,9.spirit-taurus_Org.mp3,9.led-zeppeling-stairway-to-heaven_Cpy.mp3,0.09351640194654465,0.17444780468940735,0.06569331884384155
0,9.spirit-taurus_Org.mp3,9.led-zeppeling-stairway-to-heaven_Cpy.mp3,0.01484277006238699,0.01484277006238699,0.01484277006238699
